mean,std,min,25,50,75,max
1902.382984,6715.864849,-22064.000000,-3853.000000,3626.000000,6824.000000,23622.000000
-1793.028299,7555.611130,-46885.000000,-7914.000000,597.000000,4023.000000,20089.000000
-7999.541980,7924.645038,-56651.000000,-14434.000000,-5248.000000,-1956.000000,15417.000000
-6678.517246,8380.241606,-63649.000000,-12457.000000,-4408.000000,-50.00000,17280.000000
-3801.870950,8039.807511,-50988.000000,-10583.000000,-979.000000,2963.000000,17330.000000
-3701.239169,8112.994967,-53936.000000,-10539.000000,-991.000000,3110.000000,17574.000000
-3969.290025,7807.568880,-46888.000000,-10077.000000,-588.000000,1136.000000,27181.000000















 







